defect_id,ITEMID,DEFECT_DESC,STATUS_CD,SEVERITY_CD,ENV_CD,ASSIGNED_TO,DETECTED_BY,DETECTED_DT
651060,276,Cancel BEM upload subMenu is not present under events menu,Open,High,CCDEV2,360273,221129.00,25-Dec-13
651061,276,Unable to create CB client via BEM by providing LOB priority as CAB and Priority Value as M,Open,Medium,CCDEV2,360273,346258.00,25-DEC-13
651062,276,Incorrect validation displayed during MCC NON IND client create.,Open,Medium,CCDEV2,360273,298950,21-JAN-14
651063,276,"When providing non allowable special characters for the client long name,Short name and Legal name,It displays the incorrect resonse message.",Deferred,Low,CCDEV2,360273,273846,29-JAN-14
651064,277," On updating the field, “Indicia of U.S. status found for Form W-8 client during due diligence review” for a PWM tax form it simply shows ""FATCA attribISTes update failed: "" validation in the report and not the exact reason
Tax form id:1000002510",Open,High,CCDEV2,360273,221129,30-JAN-14
651065,277,"Small characters 'c','f','n' are also allowed for indicia field change via FATCA maintenance template",Open,High,CCDEV2,360273,221129,22-JAN-14
26198,192,Testing,Hold,Medium,CCDEV4,264965,264965,27-MAR-14
651028,274,"Issue 1:When modifying Erisa fields for approval scenario.it was updated directly.
 It should go for approval when modifying erisa fields.
 
Issue 2:The client is already have pending approval,when modifying Erisa fields for that client bIST its get updated directly.it is wrong.it should throw an validation.
 
User:U008881
Client id:0251798341
Trans id:7970066 
 ",Open,High,CCDEV2,360273,273846,08-JAN-14
651029,274,"Unable to search the client , ",Open,High,CCDEV2,360273,273846,08-JAN-14
651031,274,"If empty value is provided for the field “Date indicia of U.S. status for W-8 client cured” and if the value of “Indicia of U.S. status found for Form W-8 client during due diligence review” is provided as “C (Indicia Cured)”, then the entered value for “Date indicia of U.S. status for W-8 client cured” will be suppressed and defaulted with the system date.",Open,High,CCDEV2,360273,235251,12-JAN-14
651032,274,"The user Z245701, has update access,owner and view pi permission bIST this user is able to upload the template for deactivating a client.
 
It should throw ""You donot have permission to activate/deactivate clients"" Instead it shows ""Client is Active in CRI System"" in notification list
client: 0231840597 , trans id:11458471",Deferred,High,CCDEV2,360273,221129,22-JAN-14
651033,274,The user permission for Erisa field is same as online for service.Please confirm with onsite.,Rejected,High,CCDEV2,360273,273846,24-JUL-13
651034,274,"When providing Erisa Plan Type is invalid values ,it throws the validation message as ""ERISA Plan Regulated is Mandatory when ERISA Plan Type is provided""It is wrong. ",Open,Low,CCDEV2,360273,273846,22-JAN-14
651035,274,"When a branch client under deactivated HO is changed from DEA-PRO via BEM, ""Failed.Invoking rules engine"" validation is shown in notification list
 
Whereas via online the status change was a success for the same client 
client id:0220473577
trans id:11458494
 ",Closed,Medium,CCDEV2,360273,221129,08-JAN-14
651036,274,unwanted Alerts are displaying on submit of a tax form while creating the tax form with account name.,Open,High,CCDEV2,360273,273993,06-JAN-14
651037,274,"Unable to perform any Transactions related to FATCA TAX Form Maintenance.
A Validation 'Functional ID is missing' is thrown.",Rejected,Emergency,CCDEV2,360273,235251,30-DEC-13
651038,274,"Unable to create tax form for PE lob.
 
""CC-20013 : Error while Updating the database: {0}: Can't find resource for bundle java.ISTil.PropertyResourceBundle, key PE "" is displaying on submit.
 
able to create the tax form for other lob's",Deferred,Medium,CCDEV2,360273,273993,24-JUL-13
651039,274,Tax forms are not propogating from NONSURVIVING to SURVIVING vis CIS INBOUND MERGE.,Rejected,Medium,CCDEV2,360273,273993,24-JUL-13
651040,274,Script error is displayed when the subtype conversion from NON IND to INT is done along with ECC addition for a client which had EPT & ERF as N. ,Re-Open,Medium,CCDEV2,360273,298950,22-JAN-14
651041,274,Unable to add ECC to a HO client. It throws script error,Re-Open,Medium,CCDEV2,360273,298950,28-JAN-14
651042,274,Comparision popup screen is not displaying on submit while creating a tax form.,Open,High,CCDEV2,360273,273993,24-JUL-13
651043,275,"when providing invalid values for the field EPT ,Erisa flag and ECC.first it throws the validation messgae as ""Ecc is invalid"".it is wrong it should through the validation as""EPT is invalid"".",Ready-to-Retest,Medium,CCDEV2,360273,273846,24-JUL-13
651044,275,"Reactivation of sanctioned client is successful
client id:0231840414 trans_id:11458593
 
Even via online reactivation is successful",Rejected,High,CCDEV2,360273,221129,24-JUL-13
651045,275,"Isssue1:when providing special characters for short name other then CC  non allowable character.client get created.It is wrong it should throw an validation.
Issue2:The above issue is occuring in client modify also.",Deferred,High,CCDEV2,360273,273846,24-JUL-13
651046,275,There are no values for ECC in the downloaded code value reference sheet for NON IND client creation,Open,High,CCDEV2,360273,298950,24-JUL-13
651047,275,Unable to create NON IND/INT clients via OTS. There is no client created with the given OTS id.,Re-Open,High,CCDEV2,360273,298950,24-JUL-13
651048,275,when the user close the comparision popup screen(not the close bISTton) which is present at the top most right(X) then again if the user submit the transaction the screen remains as it is.nothing is happening.,Open,High,CCDEV2,360273,273993,24-JUL-13
651049,275,In the comparision popup screen the fields are not present in order wise.As per design 4.2.1.1.3 it should follow the FATCA order.Like after account name country fields should be displayed bIST now country fields are populated first and then account name which is incorrect.,Re-Open,High,CCDEV2,360273,273993,24-JUL-13
651050,275,"Incorrect validation thrown - CCS-01552-ERISA Contractual Capacity field is required when ERISA Plan Regulated is Y or O - while trying to create a NON IND client with EPT as 10, ECC as 01 and ERF as Y.
",Open,Emergency,CCDEV2,360273,298950,24-JUL-13
651051,275,"When FATCA maintenance template radio bISTton is clicked, download code value reference sheet hyperlink is displayed. Now if the non-individual template radio bISTton is clicked both the code value reference sheets are displayed",Open,Low,CCDEV2,360273,221129,24-JUL-13
651052,275,"when providing doing business as field as alphabetic characters,it throw the alert message as ""Alphanumeric"".remove the alert messge.",Open,Low,CCDEV2,360273,273846,24-JUL-13
651055,276,"when modifying client with subtype Agent Principle,providing  special characters for doing business field it throws the hard validation messge.It is wrong .Only soft validation should be thrown.
User:U008881
Client Id:0251798307 ",Open,High,CCDEV2,360273,273846,24-JUL-13
651056,276,"In the User initiated FATCA maintenance report,Tax form id is displayed in the customer id column",Fixed,Medium,CCDEV2,360273,221129,24-JUL-13
651057,276,"On changing the ""Indicia of U.S. status found for Form W-8 client during due diligence review"" field for any form type
""FATCA attribISTes update failed: CC-10008 : Error occured while performing database operation"" error is shown in the FATCA maintenance report
",Open,Emergency,CCDEV2,360273,221129,24-JUL-13
651058,276,"Uploaded template status is in 'open'  for a very long time in server file list screen
BIST report got generated ",Open,High,CCDEV2,360273,221129,24-JUL-13
651059,276,Address field values are not present when we click on the cancel bISTton in the comparision popup screen.,Open,Medium,CCDEV2,360273,273993,24-JUL-13
651053,276,"When providing less then four characters for doing business as field,the cc non allowable special characters also accepted(i.e like ra$,r=a,$ad etc).It is wrong.it should throwa validation message.",Open,High,CCDEV2,360273,273846,24-JUL-13
651054,276,"In the comparision popup screen if the user click on Close BISTton and again submit the transaction withoIST modifying any fields, Data got updated successfully.whether again comparision popup screen will be displayed?
 
 this point is not mentioned in the design document.",Open,Medium,CCDEV2,360273,273993,24-JUL-13
650997,272,No changes to submit is thrown along with a script error when EPT and ERF is added for a client withoIST EPT.,Open,Emergency,CCDEV2,360273,298950,24-JUL-13
650998,272,"During Client create and modify via inbound , processed flag is not changing to 'Y' in cis_inbound table",Open,High,CCDEV2,360273,221129,24-JUL-13
650999,272,Unable to create a credit NON IND client withoIST EPT & ERF. The page just reloads on submi,Open,High,CCDEV2,360273,298950,24-JUL-13
651000,272,The changed info is not displayed properly in CLIENT_AUX_INFO table when ECC is removed for a client with ERF as N. ,Ready-to-Retest,Medium,CCDEV2,360273,298950,24-JUL-13
651001,272,This looks like an inherent issue however not sure. The EPT value displayed in download as excel option is incorrect. It displays the value as Deferred Compensation Plans instead of ESOPS.,Deferred,Medium,CCDEV2,360273,298950,24-JUL-13
651002,272,A blank value is inserted as CXI_VALUE in CLIENT_AUX_INFO table with CXI_CD as ECC when ERF is changed from Y to N for a client withoIST ECC.,Open,Medium,CCDEV2,360273,298950,24-JUL-13
651003,272,Script error is thrown while trying to update the ERF as O from Y and ECC with a new value. ,Open,Medium,CCDEV2,360273,298950,24-JUL-13
651005,272,"On click of approve, the TSS workitem does not get submitted instead the page just reloads when ECC is entered along with erisa fields for a TSS open client workitem in TSS action list of the reviewer",Open,Medium,CCDEV2,360273,298950,24-JUL-13
651004,272,"Script error is displayed on load of aNON IND client in act/dea clt screen. Refer clt oid - 220529680, user - U851443",Rejected,Medium,CCDEV2,360273,298950,24-JUL-13
651006,272,"A script error is thrown in view client pop up which opens on click of the client id hyperlink in view hierarchy screen
 
ISS2:
Unable to check if the ecc is enabled/disabled for non tss user due to this script error",Re-Open,High,CCDEV2,360273,298950,24-JUL-13
651007,272,A script error is thrown along with sorry error occured page for an INT client id in view client pop up displayed on click of client id hyperlink in tax form maintenance screen,Open,Medium,CCDEV2,360273,298950,24-JUL-13
651008,272,"While reprocessing in index orm, it creates two duplicate transaction entries for modifying the ERF from Yes to No and removing the ECC. One transaction is pending for approval, the other transaction is directly updated. However in db, the values are directly updated",Open,Medium,CCDEV2,360273,298950,24-JUL-13
651009,272,"History is not displaying for the client  if the we select the Entity as Tax Form and Data Element as ""Indicia of U.S. status found for Form W-8 client during due diligence review""
 
And also Account name is displaying in history screen and TAX_FM,HIST_TAX_FM tables  even that tax form is not having any account name which is incorrect.",Deferred,Medium,CCDEV2,360273,273993,24-JUL-13
651010,272," the field “Indicia of U.S. status found for Form W-8 client during due diligence review” , “Date indicia of U.S. status for W-8 client cured” fields ,are not displaying for update form transactions in the print popup screen. 
 
Issue 2:the field Document received to cure indicia of U.S. status field also is not displaying in the print popup screen",Deferred,Medium,CCDEV2,360273,273993,24-JUL-13
651011,272,"""CC-20013 : Error while Updating the database: {0}: Can't find resource for bundle java.ISTil.PropertyResourceBundle, key PE "" and ""CAAT5029:INVALID US INDICA DOCUMENT RECEIVED "" is displaying when tried to create a tax form along with  “Indicia of U.S. status found for Form W-8 client during due diligence review” as ""INDICA cURED"" and with the date field.",Open,High,CCDEV2,360273,273993,24-JUL-13
651012,273,"1.In Report type drop down it is as 'Request FB 2nd Level Review '
 
2.In Report type drop down it is as ' Request send to Sanctions Complete'",Open,Medium,CCDEV2,360273,335208,24-JUL-13
651013,273,"1.Unable to save the special character '&'
2.Unable to open the client with trans ID  - 11458062 ",Open,Medium,CCDEV2,360273,335208,24-JUL-13
651014,273,In New Case Comment after savig the work item with 2500 character and if again open the same work item only 1944 character is displayed . BIST in database 2500 character is saved,Open,Medium,CCDEV2,360273,335208,24-JUL-13
651015,273,"""clear all"" function is not working as expected for ""select columns to appear in the report"" grid for ""Client List Extract""Report.
 
 
Looks like it is the same issue with many reports and also adding this defect to inherent tracker-ES313
 ",Deferred,Low,CCDEV2,360273,322253,24-JUL-13
651016,273,"REQ_5:
The new fields Non Golden Entity Group Role and Non Golden Entity Group ID does not fetch any data in ""Client list extract report"" for a client which already has Non Golden Entity Group Role and Non Golden Entity Group ID.
 
It fetches data only when ""Select all columns"" is selected under ""Select Columns to appear in the report"" in CLE report
 
sample report ID:736986
when all selcted->736982(this is working fine)
 ",Open,Medium,CCDEV2,360273,322253,24-JUL-13
651017,273,The mandatory validation 'ECC is mandatory when ERF is Y/O' is thrown for an INT BU client which is incorrect,Rejected,Medium,CCDEV2,360273,298950,24-JUL-13
651018,273,"The Error code is wrong.When providing Erisa flag is Y or N and ECC is blank.It throws the validation message as ERISA Contractual Capacity field is required when ERISA Plan Regulated is Y or O  AttribISTes: Code -> CCS-01552  ,bIST error code mentioned in the design document is CCS-01550.",Open,Low,CCDEV2,360273,273846,24-JUL-13
651019,273,"'There are unsaved changes, do you want to continue' message is displayed incorrectly when there are no changes performed on a INT BU client.",Rejected,Medium,CCDEV2,360273,298950,24-JUL-13
651020,273,"When a DEA client is activated, Active_since_dt is not updated both in DB and view/modify screen. Client id:0699736107. Trans id:11458219. User:U008881",Open,Medium,CCDEV2,360273,221129,24-JUL-13
651021,273,"Issue1:When modifying  client,ECC alone is provided for add transaction value get updated,it is wrong it should through  validation.
 
Issue2:When modifying  client,ECC alone is provided as invalid values for add transaction value get updated,it is wrong it should through validation.
USer:U008881
Client id:0251798230",Open,Medium,CCDEV2,360273,273846,24-JUL-13
651022,273,"Unable to open the BAR chart,PIE chart,LINE chart from the MIS search result screen",Open,Medium,CCDEV2,360273,335208,24-JUL-13
651023,273,"Activate/Deactivate template allows operation types 'a','p','d'
which is incorrect. Only Capital letters should be allowed",Open,Medium,CCDEV2,360273,221129,24-JUL-13
651024,273,"Issue1:When creating client with Erisa fields,ECC alone is provided.the client get created with ECC alone.it is wrong.it should through a validation.
Issue2:The above issue is occuring modify also,when add ECC alone for client it's get updated.It should through an validation.
ECC is dependent on EPT and Erisa Flag.
",Duplicate,High,CCDEV2,360273,273846,24-JUL-13
